Gata;Område;Storlek;Slutpris;Månadskostnad;Datum;Hiss;Nyproduktion;Balkong;Uteplats;Kommun;Rooms
Gränsgatan 1;Centrala Sundbyberg;9;3025000;2695;28 jun. 2023;0;0;0;0; Sundbybergs kommun;2
Vintergatan 2C;Sundbyberg;47;3450000;3234;28 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Hamngatan 23;Centrala Sundbyberg;73;4995000;4311;28 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Stallgatan 13;Ursvik;46;2185000;2719;27 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Marieborgsgatan 4;Ursvik;69;3000000;3569;25 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Ursviksvägen 31;Duvbo;87;5750000;5917;22 jun. 2023;1;0;0;1; Sundbybergs kommun;4
Svalgränd 8C, BV;Centrala Sundbyberg;68,5;4100000;3694;22 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Tulegatan 27A, vån 3;Centrala Sundbyberg;39,8;3000000;3353;22 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas allé  18, Vån 5/5;Ursvik;91,5;3850000;5378;21 jun. 2023;1;0;1;0; Sundbybergs kommun;4
Trädgårdsgatan 3;Centrala Sundbyberg;52;2800000;3636;21 jun. 2023;0;0;0;0; Sundbybergs kommun;2
Humblegatan 17;Sundbyberg;61,5;3500000;5227;21 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Landsvägen 41;Centrala Sundbyberg;113,5;8750000;3821;21 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Hamngatan 17A;Centrala Sundbyberg;84;6500000;5109;21 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Fågelsången 2B ;Centrala Sundbyberg;68;4800000;2912;20 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Eliegatan 1B, vån 3;Centrala Sundbyberg;53;3500000;4042;20 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Mjölnerbacken 77;Rissne;79,5;3000000;3814;20 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Tulegatan 18;Sundbyberg;84;6400000;4347;19 jun. 2023;1;0;1;0; Sundbybergs kommun;4
Lötsjövägen 75;Hallonbergen;68,8;2000000;4862;19 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Fågelsången 2A;Sundbyberg;55;4375000;2284;18 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Forskargränd 5;Ursvik;58;2650000;3902;17 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Bergshöjden 46;Hallonbergen;95,3;2930000;5987;16 jun. 2023;1;0;0;0; Sundbybergs kommun;4
Boplatsvägen 7;Brotorp/järvastaden;72;3725000;5092;16 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Hamngatan 17 A;Centrala Sundbyberg;84;6500000;5109;16 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Friluftsvägen 35;Sundbyberg;59;3000000;4097;16 jun. 2023;1;0;0;1; Sundbybergs kommun;2
Tulegatan 51;Centrala Sundbyberg;73,5;4450000;4858;15 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Lavettvägen 31;Rissne;96;3300000;5650;15 jun. 2023;1;0;1;0; Sundbybergs kommun;4
Tulegatan 27A;Centrala Sundbyberg;57,4;3150000;4445;15 jun. 2023;1;0;0;0; Sundbybergs kommun;2
Rosengatan 13;Centrala Sundbyberg;50;3300000;3435;15 jun. 2023;0;0;1;0; Sundbybergs kommun;2
Vinthundsgatan 3, vån 3;Järvastaden;47;2800000;3200;14 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Forskningsringen 83B;Ursvik;92;3950000;5194;14 jun. 2023;1;0;1;0; Sundbybergs kommun;4
Lötsjövägen 69;Hallonbergen;82,1;2745000;5802;14 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Vegagatan 18;Centrala Sundbyberg;71;4050000;3739;13 jun. 2023;0;0;0;0; Sundbybergs kommun;2
Vegagatan 16, 3/3 tr;Centrala Sundbyberg;56;4100000;3663;13 jun. 2023;0;0;1;0; Sundbybergs kommun;2
Trädgårdsgatan 20A, vån 3;Lilla Alby - Centrala Sundbyberg;83;3600000;6023;13 jun. 2023;0;0;1;0; Sundbybergs kommun;3
Gjuteribacken 8C;Centrala Sundbyberg;53;3200000;3458;13 jun. 2023;0;0;1;0; Sundbybergs kommun;2
Mjölnerbacken 21;Rissne;79;2850000;4065;13 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Rosengatan 8;Centrala Sundbyberg;33;2850000;2272;13 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Hamngatan 24 A;Sundbyberg Strand;93;6000000;5649;13 jun. 2023;1;0;0;1; Sundbybergs kommun;4
Vinthundsgatan 113;Brotorp - Järvastaden;61;3200000;3929;12 jun. 2023;1;0;0;1; Sundbybergs kommun;2
Fågelsången 4;Centrala Sundbyberg;62;3995000;4147;9 jun. 2023;1;0;0;1; Sundbybergs kommun;3
Ågatan 11;Sundbyberg Centrum;44;3150000;3033;8 jun. 2023;0;0;0;1; Sundbybergs kommun;2
Forskningsringen 86;Ursvik;53,5;2500000;4113;7 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Sundbybergs Torg 1F;Lilla Alby;53;4500000;3593;7 jun. 2023;1;0;0;0; Sundbybergs kommun;2
Järnvägsgatan 50, Vån 4/4;Centrala Sundbyberg;58;4620000;3175;7 jun. 2023;0;0;1;0; Sundbybergs kommun;2
Tulegatan 66, 3tr;Sundbyberg;54;3860000;3100;7 jun. 2023;0;0;0;0; Sundbybergs kommun;2
Mjölnerbacken 72;Rissne;79,3;3100000;3857;7 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Ursviks allé 21;Ursvik;46;2100000;3487;6 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas allé 19;Ursvik;64;2795000;3990;5 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Oxenstiernas allé 21;Sundbyberg - Ursvik;39;2100000;2707;2 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Ursviks allé 41;Sundbyberg - Ursvik;62;2800000;4399;2 jun. 2023;1;0;1;0; Sundbybergs kommun;3
Forskningsringen 83 B;Ursvik;97,5;3975000;5418;1 jun. 2023;1;0;0;1; Sundbybergs kommun;3
Tritonvägen 4;Centrala Sundbyberg (Lilla Alby);65;3450000;3695;1 jun. 2023;0;0;0;0; Sundbybergs kommun;5
Humblegatan 15, Vån 6/6;Centrala Sundbyberg;61,5;3500000;5227;1 jun. 2023;1;0;1;0; Sundbybergs kommun;2
Friluftsvägen 5B;Centrala Sundbyberg;54;3145000;3910;1 jun. 2023;0;0;1;0; Sundbybergs kommun;2
Trädgårdsgatan 7;Lilla Alby;52;3000000;3818;30 maj. 2023;0;0;0;0; Sundbybergs kommun;2
Tulegatan 18, Våning 8!;Sundbyberg Centrum;49;3900000;2966;30 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Järnvägsgatan 86;Centrala Sundbyberg;66;3150000;6027;30 maj. 2023;1;0;1;1; Sundbybergs kommun;5
Landsvägen 71, vån 9;Centrala Sundbyberg;88;8495000;3894;30 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Skvadronsbacken 16;Rissne;65;2280000;3420;29 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas Allé 23, 1 tr.;Ursvik;39;2020000;2707;29 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Mariagatan 4C;Sundbyberg;64;4800000;3425;29 maj. 2023;0;0;1;0; Sundbybergs kommun;2
Tallgatan 12;Centrala Sundbyberg;60;3275000;3801;28 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Stenbrottsgatan 5;Centrala Sundbyberg;73;5050000;4556;27 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Forskningsringen 88;Ursvik;71;3390000;4283;26 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Vegagatan 22;Centrala Sundbyberg;59;3350000;3938;26 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Lötsjövägen 85;Hallonbergen;68,8;1995000;4862;26 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Hamngatan 25;Sundbyberg;89;7050000;4992;26 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Sundbybergs Torg 1J;Centrala Sundbyberg/signalfabriken;79;5650000;4518;25 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Brunnsgatan 2A;Centrala Sundbyberg;66;3800000;3273;25 maj. 2023;0;0;1;0; Sundbybergs kommun;3
Gjuteribacken 21;Lilla Alby;78,4;4150000;4355;25 maj. 2023;1;0;0;0; Sundbybergs kommun;2
Bergshöjden 50;Hallonbergen;68,8;1900000;4322;25 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Brännarvägen 5;Sundbyberg - Ursvik;55;2500000;3581;25 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Granlidsvägen 21;Duvbo;98;6700000;5145;25 maj. 2023;0;0;0;0; Sundbybergs kommun;4
Tallgatan 15, Vån 4/4!;Centrala Sundbyberg;46;3200000;2681;24 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Vintergatan 17;Sundbyberg;68;4620000;4332;24 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Gjuteribacken 12C;Lilla Alby;36;3060000;2347;24 maj. 2023;0;0;1;0; Sundbybergs kommun;2
Vattugatan 3A;Centrala Sundbyberg;76,8;5400000;3451;24 maj. 2023;0;0;1;0; Sundbybergs kommun;3
Hamngatan 11A;Centrala Sundbyberg;95;7600000;5343;24 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Tulegatan 16;Centrala Sundbyberg;85;7550000;4446;24 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Mönstringsvägen 3, vån 4 av 4;Ursvik;92;3800000;5275;23 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Rosengatan 8;Centrala Sundbyberg;46;3550000;2868;23 maj. 2023;1;0;0;0; Sundbybergs kommun;2
Fågelsången 2A;Centrala Sundbyberg;69;4900000;2943;23 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Stenbrottsgatan 5, BV;Centrala Sundbyberg;72,5;4650000;4589;23 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Hamngatan 22D;Centrala Sundbyberg;93;6075000;5649;23 maj. 2023;0;0;0;0; Sundbybergs kommun;4
Vintergatan 2D;Centrala Sundbyberg;56;4800000;3854;22 maj. 2023;1;0;1;1; Sundbybergs kommun;2
Rosengatan 12 B;Centrala Sundbyberg;75;4475000;5074;20 maj. 2023;0;0;1;0; Sundbybergs kommun;3
Forskargränd 3;Sundbyberg - Ursvik;57;2450000;3864;19 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 174;Ursvik;42;2030000;3019;19 maj. 2023;1;0;1;1; Sundbybergs kommun;2
Lavettvägen 31;Rissne;96,7;3100000;5690;17 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Svalgränd 8B, BV;Centrala Sundbyberg;68;4125000;3694;17 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Kyrkogatan 11;Centrala Sundbyberg;99;6735000;6501;17 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Vinthundsgatan 2B;Brotorp-Järvastaden;60;3750000;3727;16 maj. 2023;1;0;1;0; Sundbybergs kommun;5
Forskningsringen 90B, Bv;Ursvik/Sundbyberg;64,5;2775000;5086;16 maj. 2023;1;0;0;1; Sundbybergs kommun;2
Bergsgatan 6, 1/2 tr;Centrala Sundbyberg;57;3800000;3270;16 maj. 2023;1;0;0;0; Sundbybergs kommun;3
Lavettvägen 44;Rissne;80,2;2850000;4719;16 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Ursviksvägen 111B;Sundbyberg;55;1995000;4570;15 maj. 2023;0;0;1;0; Sundbybergs kommun;2
Stamgårdsparken 4;Sundbyberg - Lilla Alby;39;2500000;3443;15 maj. 2023;0;0;0;0; Sundbybergs kommun;2
Logdansvägen 38;Ör;48,1;2150000;2553;14 maj. 2023;0;0;0;1; Sundbybergs kommun;5
Hamngatan 11B;Centrala Sundbyberg;45;3275000;2777;14 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Götgatan 4B;Centrala Sundbyberg;62;3700000;4278;12 maj. 2023;0;0;0;0; Sundbybergs kommun;2
Forskargränd 26;Stora Ursvik;54;2150000;3090;12 maj. 2023;1;0;0;1; Sundbybergs kommun;2
Forskargränd 4A;Ursvik;88;3600000;5557;12 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Sturegatan 14;Centrala Sundbyberg;69;4735000;3141;12 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Ågatan 18;Centrala Sundbyberg;75;5650000;4988;11 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Duvgränd 6;Centrala Sundbyberg;86;8000000;4954;11 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Råstensgatan 1b;Centrala Sundbyberg;62;3950000;4452;11 maj. 2023;0;0;0;0; Sundbybergs kommun;2
Franstorpsvägen 6, 2/2 tr;Centrala Sundbyberg (Lilla Alby);73;3850000;5095;10 maj. 2023;0;0;1;0; Sundbybergs kommun;3
Skogsbacken 20;Centrala Sundbyberg;70,5;4695000;3910;10 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Fågelsången 4;Sundbyberg;51;2800000;2862;10 maj. 2023;1;0;0;1; Sundbybergs kommun;2
Vintergatan 26;Centrala Sundbyberg;55;3500000;3501;10 maj. 2023;0;0;1;0; Sundbybergs kommun;2
Vintergatan 12;Centrala Sundbyberg;48;3180000;3689;10 maj. 2023;0;0;0;0; Sundbybergs kommun;2
Rosengatan 8;Centrala Sundbyberg;53;3900000;3213;9 maj. 2023;1;0;0;0; Sundbybergs kommun;2
Järnvägsgatan 58;Centrala Sundbyberg;57;3700000;3377;9 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Hästhagsgatan 1, 4/4 tr;Centrala Sundbyberg;43;3400000;1546;8 maj. 2023;1;0;0;0; Sundbybergs kommun;2
Kavallerivägen 22, Vån 5/5;Rissne;68;2850000;4472;7 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Fredsgatan 27, 2 tr;Sundbyberg Centrum;82;6300000;1353;7 maj. 2023;0;0;0;0; Sundbybergs kommun;3
Kavallerivägen 2A;Rissne;55;2595000;3158;7 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Bergaliden 11;Centrala Sundbyberg;75;5350000;4851;6 maj. 2023;1;0;0;1; Sundbybergs kommun;3
Humblegatan 18B;Centrala Sundbyberg;28;5400000;5731;5 maj. 2023;0;0;1;0; Sundbybergs kommun;4
Fredsgatan 2A, högst upp!;Centrala Sundbyberg;61;4025000;3539;5 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Forskargränd 4;Ursvik;40;1800000;2676;5 maj. 2023;1;0;0;0; Sundbybergs kommun;2
Järnvägsgatan 58, 1tr;Centrala Sundbyberg;43;2725000;2809;4 maj. 2023;1;0;0;1; Sundbybergs kommun;2
Tulegatan 6D;Centrala Sundbyberg;39;3150000;2339;4 maj. 2023;0;0;1;0; Sundbybergs kommun;2
Kavallerivägen 2A;Rissne;72;3370000;4100;4 maj. 2023;1;0;1;0; Sundbybergs kommun;3
Oxenstiernas allé 16;Sundbyberg - Ursvik;42,5;2130000;2716;4 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Fredsgatan 21B, vån 5;Centrala Sundbyberg;55;3450000;4123;4 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Fredsgatan 12B;Centrala Sundbyberg;52;3515000;4320;4 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Prästgårdsgatan 2, vån 11;Centrala Sundbyberg;96;7700000;4119;4 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Hamngatan 21B;Centrala Sundbyberg;95;7900000;5221;3 maj. 2023;1;0;1;0; Sundbybergs kommun;4
Ursviksvägen 10B;Centrala Sundbyberg;35;2775000;2269;3 maj. 2023;0;0;0;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 152;Ursvik;44;2100000;3406;3 maj. 2023;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 152;Ursvik;44,5;1935000;3437;3 maj. 2023;1;0;0;1; Sundbybergs kommun;2
Vegagatan 17, BV;Centrala Sundbyberg;35;2585000;2602;2 maj. 2023;1;0;0;0; Sundbybergs kommun;2
Gjuteribacken 21A, 3 tr;Centrala Sundbyberg;77,6;4250000;4326;2 maj. 2023;1;0;0;0; Sundbybergs kommun;2
Stallgatan 17;Sundbyberg - Ursvik;67;2895000;3614;1 maj. 2023;1;0;1;1; Sundbybergs kommun;3
Vattugatan 1B;Centrala Sundbyberg;41,8;3005000;2004;30 apr. 2023;0;0;0;0; Sundbybergs kommun;2
Hallonbergsplan 2;Hallonbergen;55,5;2400000;2677;30 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Vintergatan 3 A;Centrala Sundbyberg;54;4150000;2672;29 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Lavettvägen 44;Rissne;96,5;3600000;5678;29 apr. 2023;1;0;1;0; Sundbybergs kommun;4
Grönlingens Väg 5;Ursvik;45;2150000;2678;29 apr. 2023;0;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 182, 3 tr;Ursvik;46;2400000;2719;29 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 162;Ursvik;104;4650000;5977;28 apr. 2023;1;0;1;1; Sundbybergs kommun;4
Vattugatan 21A;Centrala Sundbyberg;59;4050000;4006;28 apr. 2023;0;0;1;0; Sundbybergs kommun;2
Kanalstigen 34;Duvbo;104;5200000;8180;28 apr. 2023;1;0;1;1; Sundbybergs kommun;4
Lötsjövägen 93;Hallonbergen;54;1800000;3816;27 apr. 2023;1;0;0;1; Sundbybergs kommun;2
Stenbrottsgatan 3;Centrala Sundbyberg;74;4750000;4598;27 apr. 2023;1;0;1;0; Sundbybergs kommun;3
Trädgårdsgatan 23;Lilla Alby;78;4625000;3777;26 apr. 2023;1;0;0;1; Sundbybergs kommun;3
Ursviks allé 29;Sundbyberg/Ursvik;83;3200000;5609;26 apr. 2023;1;0;1;0; Sundbybergs kommun;4
Mariagatan 6, vån 4/4;Sundbyberg;9;5550000;4659;26 apr. 2023;1;0;1;0; Sundbybergs kommun;5
Ursviksvägen 2B, 2 tr;Centrala Sundbyberg;55;3500000;3396;26 apr. 2023;0;0;0;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 174;Ursvik;45;2200000;3198;26 apr. 2023;1;0;1;1; Sundbybergs kommun;2
Granlidsvägen 4;Sundbyberg - Duvbo;53;2810000;3489;26 apr. 2023;0;0;0;0; Sundbybergs kommun;2
Forskningsringen 86;Ursvik;71;3250000;4283;25 apr. 2023;1;0;1;0; Sundbybergs kommun;3
Vegagatan 27;Centrala Sundbyberg;41;3270000;2399;25 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Tulegatan 6D, vån 4/4;Centrala Sundbyberg;4;3150000;1979;25 apr. 2023;0;0;0;0; Sundbybergs kommun;2
Gamla enköpingsvägen 174;Ursvik;45;2250000;3190;23 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Örsvängen 11;Sundbyberg - Ör;77;3350000;3958;21 apr. 2023;1;0;1;0; Sundbybergs kommun;3
Tulegatan 27B;Centrala Sundbyberg;7;4750000;4658;21 apr. 2023;1;0;1;0; Sundbybergs kommun;5
Brännarvägen 7;Ursvik;55;2570000;3581;21 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Granlidsvägen 4;Duvbo;53;2425000;3489;21 apr. 2023;0;0;0;0; Sundbybergs kommun;2
Hamngatan 11 A;Lilla Alby;74,5;6000000;4210;20 apr. 2023;1;0;1;0; Sundbybergs kommun;3
Hamngatan 22D;Centrala Sundbyberg;93;6200000;5649;20 apr. 2023;1;0;1;0; Sundbybergs kommun;4
Oxenstiernas allé 10;Sundbyberg - Ursvik;75;3440000;4385;20 apr. 2023;1;0;1;0; Sundbybergs kommun;3
Forskargränd 4;Sundbyberg - Ursvik;88;3800000;5557;20 apr. 2023;1;0;1;0; Sundbybergs kommun;4
Forskningsringen 86;Ursvik;55,5;2350000;3657;19 apr. 2023;1;0;0;1; Sundbybergs kommun;2
Furuvägen 23;Centrala Sundbyberg;63;3950000;4002;19 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Bergshöjden 16;Rissne;82,1;2165000;5157;18 apr. 2023;1;0;1;0; Sundbybergs kommun;3
Kyrkogatan 2;Centrala Sundbyberg;68;3975000;3716;17 apr. 2023;0;0;1;0; Sundbybergs kommun;2
Vegagatan 25;Centrala Sundbyberg;87;5300000;4020;14 apr. 2023;1;0;1;0; Sundbybergs kommun;5
Brogatan 8;Brotorp;47;2650000;2898;14 apr. 2023;0;0;0;0; Sundbybergs kommun;2
Trädgårdsgatan 4A;Centrala Sundbyberg (Lilla Alby);63;3600000;4333;13 apr. 2023;0;0;1;0; Sundbybergs kommun;2
Mjölnerbacken 66;Rissne;63;2450000;3001;13 apr. 2023;1;0;1;0; Sundbybergs kommun;3
Lötsjövägen 85;Hallonbergen;68,8;1800000;4862;12 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Kavallerivägen 2A;Sundbyberg - Rissne;55;2425000;3158;12 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Svalgränd 5;Sundbyberg Centrum;64;3850000;3470;11 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Fredsgränd 7;Centrala Sundbyberg;64,5;4200000;4025;6 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Hamngatan 13A;Lilla Alby;42,5;3400000;2655;6 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Ursviksvägen 2B;Centrala Sundbyberg;55;3500000;3396;5 apr. 2023;0;0;0;0; Sundbybergs kommun;2
Fågelsången 4;Centrala Sundbyberg;53;3600000;3545;5 apr. 2023;1;0;0;1; Sundbybergs kommun;2
Lötsjövägen 51;Hallonbergen;95,3;2850000;6734;4 apr. 2023;1;0;1;0; Sundbybergs kommun;4
Ursviks Allé 35;Ursvik;39;2100000;3229;4 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Kavallerivägen 2B, vån 7;Rissne;86;4200000;4938;4 apr. 2023;1;0;1;0; Sundbybergs kommun;4
Vintergatan 2B;Sundbyberg;43;3200000;2959;4 apr. 2023;1;0;0;0; Sundbybergs kommun;2
Eliegatan 16;Sundbyberg;77;4725000;3446;4 apr. 2023;0;0;0;0; Sundbybergs kommun;3
Kavallerivägen 2C;Rissne;55;2500000;3158;1 apr. 2023;1;0;1;0; Sundbybergs kommun;2
Tulegatan 16;Sundbyberg Centrum;84;6975000;4394;1 apr. 2023;1;0;1;0; Sundbybergs kommun;4
Forskargränd 2;Sundbyberg - Ursvik;66;3070000;4249;1 apr. 2023;1;0;1;0; Sundbybergs kommun;3
Skvadronsbacken 11, 1 tr;Rissne;46;1995000;2339;31 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Ursviks Allé 23;Stora Ursvik;55;2950000;3759;31 mar. 2023;1;0;1;0; Sundbybergs kommun;3
Bergshöjden 18;Hallonbergen;82,1;2495000;5157;30 mar. 2023;1;0;1;0; Sundbybergs kommun;3
Humblegatan 26B, Vån 4;Lilla Alby;94;5700000;5455;30 mar. 2023;1;0;0;0; Sundbybergs kommun;4
Ursviksvägen 16;Centrala Sundbyberg;73,5;4400000;3329;29 mar. 2023;1;0;1;0; Sundbybergs kommun;4
Tulegatan 6c, 3 tr;Sundbyberg;48;3100000;2759;29 mar. 2023;0;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 176;Sundbyberg / Ursvik;44;2210000;2629;28 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Forskargränd 2;Sundbyberg - Ursvik;48;2275000;3264;28 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Högklintavägen 15, BV;Lilla Alby;80,5;4860000;4304;28 mar. 2023;1;0;1;0; Sundbybergs kommun;3
Råstensgatan 10;Centrala Sundbyberg;77;5530000;4905;28 mar. 2023;1;0;1;0; Sundbybergs kommun;3
Rosengatan 12B;Centrala Sundbyberg;75;4950000;5047;27 mar. 2023;0;0;1;0; Sundbybergs kommun;3
Mariagatan 6, vån 4/5;Centrala Sundbyberg;44;3100000;3185;27 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 152, 4 tr;Ursvik;44,5;1900000;3324;26 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Humblegatan 28B;Centrala Sundbyberg (Lilla Alby);50;3150000;2866;25 mar. 2023;1;0;0;0; Sundbybergs kommun;2
Forskningsringen 88;Ursvik;37,5;2200000;2931;24 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Skrivargatan 31;Ursvik;70;3150000;3805;24 mar. 2023;1;0;0;0; Sundbybergs kommun;3
Ursviksvägen 3;Centrala Sundbyberg;78;5400000;5204;23 mar. 2023;1;0;1;0; Sundbybergs kommun;4
Logdansvägen 16;Ör;77,7;2700000;3761;23 mar. 2023;0;0;1;0; Sundbybergs kommun;3
Forskargränd 20;Ursvik;91;4390000;4401;23 mar. 2023;1;0;1;0; Sundbybergs kommun;3
Råstensgatan 4, 2tr;Centrala Sundbyberg;54,2;3835000;2510;23 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Hästhagsgatan 1;Centrala Sundbyberg;53,5;2830000;1803;22 mar. 2023;1;0;0;0; Sundbybergs kommun;2
Albygatan 120;Lilla Alby;44;2625000;2757;22 mar. 2023;1;0;0;0; Sundbybergs kommun;2
Löfströms allé 2B, vån 5;Centrala Sundbyberg;80;5995000;4550;22 mar. 2023;1;0;1;0; Sundbybergs kommun;3
Vintergatan 15B;Centrala Sundbyberg;48;3350000;3537;22 mar. 2023;0;0;0;0; Sundbybergs kommun;2
Vattugatan 6;Sundbyberg;125;12000000;5960;21 mar. 2023;1;0;1;0; Sundbybergs kommun;4
Vintergatan 2D;Centrala Sundbyberg;49;3550000;3372;20 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Brogatan 10;Järvastaden;78,5;3700000;4588;20 mar. 2023;1;0;0;0; Sundbybergs kommun;3
Hamngatan 27B;Centrala Sundbyberg;61,5;4100000;3177;20 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Lavettvägen 41;Rissne;64,9;2300000;3819;20 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Tulegatan 72;Centrala Sundbyberg;53;3470000;3356;19 mar. 2023;0;0;1;0; Sundbybergs kommun;2
Forskningsringen 86;Sundbyberg - Ursvik;53,5;2500000;3577;19 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Råstensgatan 11;Centrala Sundbyberg;65;4700000;4367;17 mar. 2023;1;0;1;0; Sundbybergs kommun;3
Franstorpsvägen 5;Lilla Alby - Centrala Sundbyberg;63,3;3200000;4054;16 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Örsvängen 5, Renoveringsobjekt;Ör;77;2960000;3518;16 mar. 2023;1;0;1;0; Sundbybergs kommun;3
Stallgatan 13;Ursvik;46;2200000;2719;16 mar. 2023;1;0;0;1; Sundbybergs kommun;2
Tulegatan 6B;Sundbyberg;4;3280000;1805;16 mar. 2023;0;0;0;0; Sundbybergs kommun;2
Hamngatan 24A;Centrala Sundbyberg;60,5;4195000;4216;16 mar. 2023;1;0;1;0; Sundbybergs kommun;2
Högklintavägen 12;Centrala Sundbyberg;91;5775000;5093;16 mar. 2023;1;0;1;0; Sundbybergs kommun;4
Lavettvägen 35;Rissne;82,5;2900000;4855;16 mar. 2023;1;0;1;0; Sundbybergs kommun;5
Ågatan 11, 4 tr;Centrala Sundbyberg;98,5;6400000;6381;15 mar. 2023;1;0;1;0; Sundbybergs kommun;4
