Hemma,Borta,Resultat
Chelsea,Bournemouth,2:0
Man Utd,Nottm Forest,3:0
Leeds,Man City,1:3
West Ham,Brentford,0:2
Liverpool,Leicester,2:1
Wolves,Man Utd,0:1
Bournemouth,Crystal Palace,0:2
Fulham,Southampton,2:1
Man City,Everton,1:1
Newcastle,Leeds,0:0
Brighton,Arsenal,2:4
Tottenham,Aston Villa,0:2
Nottm Forest,Chelsea,1:1
Brentford,Liverpool,3:1
Arsenal,Newcastle,0:0
Everton,Brighton,1:4
Leicester,Fulham,0:1
Man Utd,Bournemouth,3:0
Southampton,Nottm Forest,0:1
Leeds,West Ham,2:2
Aston Villa,Wolves,1:1
Crystal Palace,Tottenham,0:4
Chelsea,Man City,0:1
Aston Villa,Leeds,2:1
Man Utd,Man City,2:1
Brighton,Liverpool,3:0
Wolves,West Ham,1:0
Nottm Forest,Leicester,2:0
Everton,Southampton,1:2
Brentford,Bournemouth,2:0
Chelsea,Crystal Palace,1:0
Newcastle,Fulham,1:0
Tottenham,Arsenal,0:2
Liverpool,Chelsea,0:0
Bournemouth,Nottm Forest,1:1
West Ham,Everton,2:0
Southampton,Aston Villa,0:1
Leicester,Brighton,2:2
Crystal Palace,Newcastle,0:0
Man City,Wolves,3:0
Leeds,Brentford,0:0
Arsenal,Man Utd,3:2
Fulham,Tottenham,0:1
Chelsea,Fulham,0:0
Everton,Arsenal,1:0
Aston Villa,Leicester,2:4
Brentford,Southampton,3:0
Brighton,Bournemouth,1:0
Man Utd,Crystal Palace,2:1
Wolves,Liverpool,3:0
Newcastle,West Ham,1:1
Nottm Forest,Leeds,1:0
Tottenham,Man City,1:0
West Ham,Chelsea,1:1
Southampton,Wolves,1:2
Leicester,Tottenham,4:1
Arsenal,Brentford,1:1
Crystal Palace,Brighton,1:1
Fulham,Nottm Forest,2:0
Bournemouth,Newcastle,1:1
Leeds,Man Utd,0:2
Man City,Aston Villa,3:1
Liverpool,Everton,2:0
Aston Villa,Arsenal,2:4
Brentford,Crystal Palace,1:1
Brighton,Fulham,0:1
Chelsea,Southampton,0:1
Everton,Leeds,1:0
Wolves,Bournemouth,0:1
Nottm Forest,Man City,1:1
Newcastle,Liverpool,0:2
Man Utd,Leicester,3:0
Tottenham,West Ham,2:0
Fulham,Wolves,1:1
Everton,Aston Villa,0:2
Leeds,Southampton,1:0
Leicester,Arsenal,0:1
West Ham,Nottm Forest,4:0
Bournemouth,Man City,1:4
Crystal Palace,Liverpool,0:0
Tottenham,Chelsea,2:0
Man Utd,Brentford,1:0
Man City,Newcastle,2:0
Wolves,Tottenham,1:0
Chelsea,Leeds,1:0
Brighton,West Ham,4:0
Aston Villa,Crystal Palace,1:0
Arsenal,Bournemouth,3:2
Southampton,Leicester,1:0
Nottm Forest,Everton,2:2
Liverpool,Man Utd,7:0
Brentford,Fulham,3:2
Bournemouth,Liverpool,1:0
Everton,Brentford,1:0
Leeds,Brighton,2:2
Tottenham,Nottm Forest,3:1
Leicester,Chelsea,1:3
Crystal Palace,Man City,0:1
Fulham,Arsenal,0:3
West Ham,Aston Villa,1:1
Man Utd,Southampton,0:0
Newcastle,Wolves,2:1
Nottm Forest,Newcastle,1:2
Wolves,Leeds,2:4
Aston Villa,Bournemouth,3:0
Brentford,Leicester,1:1
Southampton,Tottenham,3:3
Chelsea,Everton,2:2
Arsenal,Crystal Palace,4:1
Man City,Liverpool,4:1
Nottm Forest,Wolves,1:1
Crystal Palace,Leicester,2:1
Brighton,Brentford,3:3
Bournemouth,Fulham,2:1
Arsenal,Leeds,4:1
Chelsea,Aston Villa,0:2
West Ham,Southampton,1:0
Newcastle,Man Utd,2:0
Everton,Tottenham,1:1
Man Utd,Everton,2:0
Wolves,Chelsea,1:0
Tottenham,Brighton,2:1
Leicester,Bournemouth,0:1
Fulham,West Ham,0:1
Brentford,Newcastle,1:2
Aston Villa,Nottm Forest,2:0
Southampton,Man City,1:4
Leeds,Crystal Palace,1:5
Liverpool,Arsenal,2:2
Aston Villa,Newcastle,3:0
Wolves,Brentford,2:0
Tottenham,Bournemouth,2:3
Southampton,Crystal Palace,0:2
Everton,Fulham,1:3
Chelsea,Brighton,1:2
Man City,Leicester,3:1
West Ham,Arsenal,2:2
Nottm Forest,Man Utd,0:2
Leeds,Liverpool,1:6
Arsenal,Southampton,3:3
Fulham,Leeds,2:1
Liverpool,Nottm Forest,3:2
Leicester,Wolves,2:1
Crystal Palace,Everton,0:0
Brentford,Aston Villa,1:1
Newcastle,Tottenham,6:1
Bournemouth,West Ham,0:4
